config,lit_pass,avg_exec,exec_ratio,avg_compile,avg_size,size_ratio,annotations,annot_SUB,annot_BCF,annot_FLA,annot_SPLIT,annot_IBR,annot_ICALL,annot_IGV
default_balanced,27/27,1.7487,1.9801,4.2739,32517.2,1.7268,390,273,42,0,50,0,25,0
optimized,27/27,1.8053,2.0442,4.1022,33305.8,1.7687,401,273,42,0,82,0,4,0
