variant,scenario,phase,repetition,exit_code,elapsed_seconds,parse_status,tokens_per_second,avg_ns,log
balanced,tg128,measure,6,0,13.803903,OK,11.102629,11528801177.0,logs/bench_balanced_tg128_measure_06.log
llvm,pp512,measure,6,0,15.515347,OK,36.703184,13949743508.0,logs/bench_llvm_pp512_measure_06.log
balanced,pp512,measure,6,0,18.374769,OK,31.747988,16127006325.0,logs/bench_balanced_pp512_measure_06.log
gcc,pp512,measure,6,0,17.920216,OK,32.041126,15979463559.0,logs/bench_gcc_pp512_measure_06.log
llvm,tg128,measure,6,0,12.153444,OK,12.04333,10628289721.0,logs/bench_llvm_tg128_measure_06.log
gcc,tg128,measure,6,0,13.355698,OK,11.256868,11370835673.0,logs/bench_gcc_tg128_measure_06.log
llvm,pp512,measure,7,0,15.409466,OK,36.895674,13876965721.0,logs/bench_llvm_pp512_measure_07.log
balanced,tg128,measure,7,0,13.811512,OK,11.119328,11511487029.0,logs/bench_balanced_tg128_measure_07.log
gcc,tg128,measure,7,0,13.306631,OK,11.275391,11352156664.0,logs/bench_gcc_tg128_measure_07.log
balanced,pp512,measure,7,0,18.316042,OK,31.86594,16067311774.0,logs/bench_balanced_pp512_measure_07.log
gcc,pp512,measure,7,0,17.916792,OK,32.132639,15933954036.0,logs/bench_gcc_pp512_measure_07.log
llvm,tg128,measure,7,0,12.197199,OK,12.028529,10641367303.0,logs/bench_llvm_tg128_measure_07.log
gcc,pp512,measure,8,0,17.972594,OK,32.001103,15999448392.0,logs/bench_gcc_pp512_measure_08.log
balanced,pp512,measure,8,0,18.324950,OK,31.948146,16025968943.0,logs/bench_balanced_pp512_measure_08.log
llvm,pp512,measure,8,0,15.014144,OK,38.06524,13450591558.0,logs/bench_llvm_pp512_measure_08.log
llvm,tg128,measure,8,0,12.206261,OK,12.022014,10647134761.0,logs/bench_llvm_tg128_measure_08.log
balanced,tg128,measure,8,0,13.757507,OK,11.114192,11516806790.0,logs/bench_balanced_tg128_measure_08.log
gcc,tg128,measure,8,0,13.358034,OK,11.269659,11357930242.0,logs/bench_gcc_tg128_measure_08.log
llvm,pp512,measure,9,0,15.464876,OK,36.880149,13882807234.0,logs/bench_llvm_pp512_measure_09.log
gcc,pp512,measure,9,0,18.022381,OK,31.944565,16027765721.0,logs/bench_gcc_pp512_measure_09.log
llvm,tg128,measure,9,0,12.254396,OK,11.979033,10685336598.0,logs/bench_llvm_tg128_measure_09.log
balanced,pp512,measure,9,0,18.411774,OK,31.743023,16129528817.0,logs/bench_balanced_pp512_measure_09.log
balanced,tg128,measure,9,0,13.808047,OK,11.105992,11525310010.0,logs/bench_balanced_tg128_measure_09.log
gcc,tg128,measure,9,0,13.308359,OK,11.257971,11369721806.0,logs/bench_gcc_tg128_measure_09.log
llvm,tg128,measure,10,0,12.205769,OK,12.051885,10620745326.0,logs/bench_llvm_tg128_measure_10.log
balanced,tg128,measure,10,0,13.756316,OK,11.130192,11500251001.0,logs/bench_balanced_tg128_measure_10.log
llvm,pp512,measure,10,0,15.605806,OK,36.447051,14047775628.0,logs/bench_llvm_pp512_measure_10.log
gcc,pp512,measure,10,0,17.956751,OK,32.029145,15985440996.0,logs/bench_gcc_pp512_measure_10.log
balanced,pp512,measure,10,0,18.222986,OK,32.066635,15966751536.0,logs/bench_balanced_pp512_measure_10.log
gcc,tg128,measure,10,0,13.310147,OK,11.269015,11358579450.0,logs/bench_gcc_tg128_measure_10.log
balanced,pp512,measure,11,0,18.422949,OK,31.683717,16159720066.0,logs/bench_balanced_pp512_measure_11.log
balanced,tg128,measure,11,0,13.811071,OK,11.073474,11559154469.0,logs/bench_balanced_tg128_measure_11.log
llvm,tg128,measure,11,0,12.204208,OK,12.041219,10630152838.0,logs/bench_llvm_tg128_measure_11.log
gcc,pp512,measure,11,0,18.013893,OK,31.9334,16033369433.0,logs/bench_gcc_pp512_measure_11.log
gcc,tg128,measure,11,0,13.308473,OK,11.297924,11329514606.0,logs/bench_gcc_tg128_measure_11.log
llvm,pp512,measure,11,0,15.110322,OK,37.900512,13509052351.0,logs/bench_llvm_pp512_measure_11.log
llvm,tg128,measure,12,0,12.254781,OK,11.995091,10671031662.0,logs/bench_llvm_tg128_measure_12.log
balanced,tg128,measure,12,0,13.859443,OK,11.077413,11555044555.0,logs/bench_balanced_tg128_measure_12.log
gcc,pp512,measure,12,0,17.920078,OK,32.124833,15937825895.0,logs/bench_gcc_pp512_measure_12.log
llvm,pp512,measure,12,0,15.462767,OK,36.826158,13903160727.0,logs/bench_llvm_pp512_measure_12.log
gcc,tg128,measure,12,0,13.303178,OK,11.275439,11352108016.0,logs/bench_gcc_tg128_measure_12.log
balanced,pp512,measure,12,0,18.275707,OK,31.912042,16044100201.0,logs/bench_balanced_pp512_measure_12.log
balanced,tg128,measure,13,0,13.759376,OK,11.140785,11489315955.0,logs/bench_balanced_tg128_measure_13.log
llvm,tg128,measure,13,0,12.154301,OK,12.053462,10619356059.0,logs/bench_llvm_tg128_measure_13.log
gcc,pp512,measure,13,0,18.018752,OK,31.839323,16080743753.0,logs/bench_gcc_pp512_measure_13.log
llvm,pp512,measure,13,0,15.014134,OK,38.036357,13460805365.0,logs/bench_llvm_pp512_measure_13.log
balanced,pp512,measure,13,0,18.267860,OK,31.953688,16023189561.0,logs/bench_balanced_pp512_measure_13.log
gcc,tg128,measure,13,0,13.309343,OK,11.306641,11320780527.0,logs/bench_gcc_tg128_measure_13.log
llvm,tg128,measure,14,0,12.200103,OK,12.02381,10645543935.0,logs/bench_llvm_tg128_measure_14.log
gcc,tg128,measure,14,0,13.256806,OK,11.312128,11315289244.0,logs/bench_gcc_tg128_measure_14.log
balanced,tg128,measure,14,0,13.752474,OK,11.121029,11509725838.0,logs/bench_balanced_tg128_measure_14.log
gcc,pp512,measure,14,0,17.921009,OK,32.082336,15958937711.0,logs/bench_gcc_pp512_measure_14.log
balanced,pp512,measure,14,0,18.423989,OK,31.826562,16087191566.0,logs/bench_balanced_pp512_measure_14.log
llvm,pp512,measure,14,0,15.465411,OK,36.888918,13879507053.0,logs/bench_llvm_pp512_measure_14.log
gcc,tg128,measure,15,0,13.311724,OK,11.306397,11321024236.0,logs/bench_gcc_tg128_measure_15.log
balanced,tg128,measure,15,0,13.759126,OK,11.132967,11497384254.0,logs/bench_balanced_tg128_measure_15.log
llvm,tg128,measure,15,0,12.205885,OK,12.036261,10634531392.0,logs/bench_llvm_tg128_measure_15.log
gcc,pp512,measure,15,0,18.071495,OK,31.890272,16055052636.0,logs/bench_gcc_pp512_measure_15.log
balanced,pp512,measure,15,0,18.324980,OK,32.028187,15985918720.0,logs/bench_balanced_pp512_measure_15.log
llvm,pp512,measure,15,0,15.314498,OK,37.280927,13733564049.0,logs/bench_llvm_pp512_measure_15.log
balanced,tg128,measure,16,0,13.811075,OK,11.101184,11530301274.0,logs/bench_balanced_tg128_measure_16.log
gcc,pp512,measure,16,0,17.921614,OK,32.119856,15940295441.0,logs/bench_gcc_pp512_measure_16.log
llvm,tg128,measure,16,0,12.251658,OK,12.003722,10663359212.0,logs/bench_llvm_tg128_measure_16.log
gcc,tg128,measure,16,0,13.307401,OK,11.266033,11361585501.0,logs/bench_gcc_tg128_measure_16.log
balanced,pp512,measure,16,0,18.474590,OK,31.711915,16145350942.0,logs/bench_balanced_pp512_measure_16.log
llvm,pp512,measure,16,0,15.516694,OK,36.751598,13931367192.0,logs/bench_llvm_pp512_measure_16.log
balanced,tg128,measure,17,0,13.808668,OK,11.119185,11511634756.0,logs/bench_balanced_tg128_measure_17.log
balanced,pp512,measure,17,0,18.376126,OK,31.864736,16067919322.0,logs/bench_balanced_pp512_measure_17.log
gcc,pp512,measure,17,0,17.918254,OK,32.076533,15961824997.0,logs/bench_gcc_pp512_measure_17.log
llvm,tg128,measure,17,0,12.200557,OK,12.025328,10644200522.0,logs/bench_llvm_tg128_measure_17.log
gcc,tg128,measure,17,0,13.359975,OK,11.226526,11401568414.0,logs/bench_gcc_tg128_measure_17.log
llvm,pp512,measure,17,0,15.614845,OK,36.480584,14034863032.0,logs/bench_llvm_pp512_measure_17.log
balanced,tg128,measure,18,0,13.808059,OK,11.101162,11530324663.0,logs/bench_balanced_tg128_measure_18.log
llvm,pp512,measure,18,0,15.565109,OK,36.539739,14012141560.0,logs/bench_llvm_pp512_measure_18.log
balanced,pp512,measure,18,0,18.373552,OK,31.822013,16089491442.0,logs/bench_balanced_pp512_measure_18.log
gcc,tg128,measure,18,0,13.307672,OK,11.28033,11347185987.0,logs/bench_gcc_tg128_measure_18.log
