"variant","algorithm","block_size_bytes","measurements","arithmetic_mean_MB_per_second","source_file"
"gcc","SHA-512","64","20","234.61128","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","SHA-512","64","20","251.199893","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","SHA-512","64","20","9.193952","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","SHA-512","64","20","50.239836","formal_evaluation/openssl/raw/speed_repetitions.csv"
"gcc","SHA-512","256","20","401.468978","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","SHA-512","256","20","398.823007","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","SHA-512","256","20","29.733118","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","SHA-512","256","20","110.490927","formal_evaluation/openssl/raw/speed_repetitions.csv"
"gcc","SHA-512","1024","20","586.513626","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","SHA-512","1024","20","568.53807","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","SHA-512","1024","20","79.550833","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","SHA-512","1024","20","186.792929","formal_evaluation/openssl/raw/speed_repetitions.csv"
"gcc","SHA-512","8192","20","680.379253","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","SHA-512","8192","20","639.617843","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","SHA-512","8192","20","156.662323","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","SHA-512","8192","20","238.070666","formal_evaluation/openssl/raw/speed_repetitions.csv"
"gcc","SHA-512","16384","20","685.029066","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","SHA-512","16384","20","653.015019","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","SHA-512","16384","20","169.395814","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","SHA-512","16384","20","241.892606","formal_evaluation/openssl/raw/speed_repetitions.csv"
