variant,scenario,ok_repetitions,planned_repetitions,median_tokens_per_second,min_tokens_per_second,max_tokens_per_second
optimized,pp512,20,20,32.333921000000004,32.156623,32.585589
optimized,tg128,20,20,11.1164405,11.065508,11.179058
