variant,algorithm,block_size,phase,repetition,status,bytes_per_second,elapsed_seconds
llvm,SHA-512,1024,warmup,1,OK,575164416.0,1.0176319400002285
llvm,AES-128-CBC,8192,warmup,1,OK,418909090.91,1.0182775210000727
optimized,SHA-512,16384,warmup,1,OK,244121600.0,1.0165987549999045
ollvm-full,SHA-512,8192,warmup,1,OK,158605312.0,1.1176682450000044
ollvm-full,AES-128-CBC,256,warmup,1,OK,34462464.0,1.1184897050002292
optimized,ChaCha20-Poly1305,16384,warmup,1,OK,392007886.87,1.0176581699997769
gcc,AES-128-CBC,1024,warmup,1,OK,382215168.0,1.016301827999996
gcc,ChaCha20-Poly1305,16384,warmup,1,OK,506855424.0,1.0169049829996766
llvm,ChaCha20-Poly1305,1024,warmup,1,OK,506645504.0,1.0173013749999882
balanced,ChaCha20-Poly1305,16384,warmup,1,OK,406935531.31,1.0174391939999623
ollvm-full,AES-128-CBC,16384,warmup,1,OK,43466752.0,1.1174149860003126
balanced,SHA-512,64,warmup,1,OK,79109632.0,1.0184065839998766
ollvm-full,SHA-512,16,warmup,1,OK,2273728.0,1.1179486290002387
optimized,ChaCha20-Poly1305,16,warmup,1,OK,79048400.0,1.017729510999743
balanced,ChaCha20-Poly1305,16,warmup,1,OK,74065888.0,1.0173521440001423
ollvm-full,SHA-512,256,warmup,1,OK,29849344.0,1.118192062000162
balanced,AES-128-CBC,16,warmup,1,OK,99709728.0,1.017756959000053
llvm,SHA-512,64,warmup,1,OK,252857792.0,1.017586231000223
balanced,ChaCha20-Poly1305,1024,warmup,1,OK,378673131.31,1.017452159000186
llvm,AES-128-CBC,16,warmup,1,OK,379808368.0,1.0170050669999
optimized,AES-128-CBC,256,warmup,1,OK,214996224.0,1.0178694800001722
balanced,AES-128-CBC,64,warmup,1,OK,220613888.0,1.017434817999856
balanced,AES-128-CBC,1024,warmup,2,OK,357050368.0,1.0172656230001849
llvm,AES-128-CBC,16,warmup,2,OK,378399094.95,1.0166411929999413
llvm,SHA-512,8192,warmup,2,OK,649191424.0,1.0171347000000424
optimized,SHA-512,1024,warmup,2,OK,186770432.0,1.0172312999998212
optimized,ChaCha20-Poly1305,256,warmup,2,OK,329555456.0,1.0178176649997113
gcc,ChaCha20-Poly1305,256,warmup,2,OK,487672242.42,1.0179193890003262
optimized,ChaCha20-Poly1305,64,warmup,2,OK,224928384.0,1.0180736730003446
llvm,AES-128-CBC,8192,warmup,2,OK,420042731.31,1.0169181910000589
optimized,ChaCha20-Poly1305,8192,warmup,2,OK,387039232.0,1.0171041769999647
gcc,SHA-512,16,warmup,2,OK,58780064.0,1.0166765880003368
optimized,AES-128-CBC,16384,warmup,2,OK,236568576.0,1.0173044400003164
llvm,AES-128-CBC,64,warmup,2,OK,408746795.96,1.0171757009998146
balanced,AES-128-CBC,256,warmup,2,OK,314355968.0,1.017860866999854
ollvm-full,SHA-512,16384,warmup,2,OK,171589632.0,1.1176969329999338
llvm,ChaCha20-Poly1305,16384,warmup,2,OK,507101184.0,1.0178124880003452
ollvm-full,AES-128-CBC,1024,warmup,2,OK,41489408.0,1.1184101690000716
optimized,SHA-512,64,warmup,2,OK,50281536.0,1.0184366280000177
llvm,SHA-512,256,warmup,2,OK,394185728.0,1.0174830760001896
optimized,AES-128-CBC,16,warmup,2,OK,87317216.0,1.0173382899997705
gcc,SHA-512,16384,warmup,2,OK,685113344.0,1.017545250999774
ollvm-full,SHA-512,64,warmup,2,OK,9247040.0,1.1172791340000003
ollvm-full,SHA-512,16,warmup,2,OK,2301088.0,1.117688803999954
balanced,SHA-512,256,warmup,2,OK,209492224.0,1.0170760629998767
optimized,ChaCha20-Poly1305,16384,warmup,2,OK,388153344.0,1.0170348500000728
ollvm-full,ChaCha20-Poly1305,8192,warmup,2,OK,82083840.0,1.1177825760000815
llvm,SHA-512,64,warmup,2,OK,254234304.0,1.0174643229997855
llvm,SHA-512,16,warmup,2,OK,62894496.0,1.0169805629998336
balanced,SHA-512,16384,warmup,2,OK,628326400.0,1.017490356000053
balanced,AES-128-CBC,16,warmup,2,OK,97772800.0,1.0174305199998344
gcc,SHA-512,8192,warmup,2,OK,683040768.0,1.016841525000018
balanced,ChaCha20-Poly1305,16,warmup,2,OK,70944512.0,1.0178228990002935
ollvm-full,AES-128-CBC,16384,warmup,2,OK,44138496.0,1.1183791389998987
gcc,ChaCha20-Poly1305,1024,warmup,2,OK,501855232.0,1.0183386609996887
llvm,SHA-512,16384,warmup,2,OK,651868056.57,1.0177019450002263
gcc,ChaCha20-Poly1305,16384,warmup,2,OK,508395520.0,1.0183410990002812
llvm,AES-128-CBC,16384,warmup,2,OK,413040640.0,1.0180754909997631
balanced,AES-128-CBC,8192,warmup,2,OK,372252672.0,1.0176790989999063
optimized,SHA-512,16,warmup,2,OK,12673503.03,1.0179719779998777
llvm,ChaCha20-Poly1305,8192,warmup,2,OK,511647744.0,1.0180870160002087
ollvm-full,SHA-512,8192,warmup,2,OK,158539776.0,1.11862814899996
balanced,ChaCha20-Poly1305,256,warmup,2,OK,323054336.0,1.0186605580001924
balanced,ChaCha20-Poly1305,8192,warmup,2,OK,401170432.0,1.0179836950001118
gcc,ChaCha20-Poly1305,8192,warmup,2,OK,504324096.0,1.0174885900000845
optimized,ChaCha20-Poly1305,1024,warmup,2,OK,367262720.0,1.0174368190000678
balanced,ChaCha20-Poly1305,1024,warmup,2,OK,375144448.0,1.017699859000004
balanced,SHA-512,16,warmup,2,OK,19818800.0,1.0176229940002486
gcc,AES-128-CBC,16384,warmup,2,OK,384139264.0,1.0174585150002713
balanced,AES-128-CBC,64,warmup,2,OK,223509527.27,1.0172601429999304
gcc,AES-128-CBC,1024,warmup,2,OK,382231552.0,1.0173349510000662
llvm,ChaCha20-Poly1305,1024,warmup,2,OK,507911168.0,1.0176047459999609
ollvm-full,ChaCha20-Poly1305,256,warmup,2,OK,55557120.0,1.1178863889999775
ollvm-full,AES-128-CBC,64,warmup,2,OK,21516088.89,1.1181644019998203
llvm,ChaCha20-Poly1305,256,warmup,2,OK,508567014.14,1.0174759040000936
balanced,SHA-512,8192,warmup,2,OK,588619776.0,1.0168016070001613
ollvm-full,AES-128-CBC,16,warmup,2,OK,8593616.16,1.1171982340001705
llvm,AES-128-CBC,1024,warmup,2,OK,411436032.0,1.0176823450001393
gcc,AES-128-CBC,8192,warmup,2,OK,382435328.0,1.0174545059999218
gcc,AES-128-CBC,256,warmup,2,OK,381427200.0,1.0171859819997735
optimized,AES-128-CBC,1024,warmup,2,OK,227581952.0,1.0168592199997875
ollvm-full,ChaCha20-Poly1305,16,warmup,2,OK,8674960.0,1.1166440050001256
llvm,SHA-512,1024,warmup,2,OK,559239168.0,1.0168589559998509
